"","V1","V2","V3","V4","V5","V6","V7"
"84","84","-0.902743775745672","-0.354217309488698","5.85831097318353","3.37043581244225","-6.26602582469032","-5.57512851644885"
"85","85","-1.12966025956163","0.0675335883825123","5.75812512483919","3.27319629343291","-9.38093524375773","-8.30487344383684"
"86","86","-0.371750566454875","-0.47045591954411","1.24756564909002","0.121800721438334","-3.4577168692133","-4.11833035266256"
"87","87","-1.67710107329812","-0.273160474995591","0.576473060108021","-0.0549789864497558","-11.4994399205085","-15.3333716993201"
"88","88","-0.247043361271796","-0.655993454137551","4.73310150028287","2.34876610998613","-2.27417196825473","-1.31053763156419"
"89","89","-1.71169431495176","-0.696162423146796","0.326985336250321","1.82457780764775","-18.3223107932459","-16.4208110768371"
"90","90","-1.58223478071039","-0.331206294911709","2.61893529612165","2.51386146543151","-10.4341179880528","-11.8229119394407"
"91","91","-0.96362729830152","-1.09424584826589","1.59557193291373","1.69759989874611","-12.9010294189004","-8.66799846451681"
"92","92","-0.38647963163633","-0.0344868518943175","7.52388112349335","4.33320982475513","-3.00998349398533","-3.86471301877903"
"93","93","-0.817193525585041","-0.0197981330814527","4.44150038773859","3.8136376035433","-13.2394557283651","-12.2716527432369"
"94","94","-1.03540478624801","-0.449453681690303","1.96829981165357","1.16373121434819","-7.99112217661181","-11.5150630602903"
"95","95","-1.86182806981482","-0.851892383550038","1.45037349735729","1.09008234941898","-11.1451997266757","-14.1871252646594"
"96","96","-1.08267919634392","-0.478731480241079","3.18387473877653","2.76440354421665","-15.4042776942492","-13.9919251874171"
"97","97","-0.589747611037976","-1.17165331656792","0.591599784166178","0.163163606806184","-5.92877953689391","-4.57521724383482"
"98","98","-2.43305904599025","-0.112680636139491","0.56646021891556","0.68661761245127","-24.8076768002118","-23.8608150499804"
"99","99","-1.64549640560824","-0.624247617394386","-0.137395055417227","1.48775347332007","-18.6324070678101","-18.1438083975804"
"100","100","-1.65857059587469","-0.568755725222513","3.86692458726966","1.71813049137174","-10.5000050767257","-11.6100878384941"
"101","101","0.430174478296633","-0.107598082721909","5.67565110170417","3.63124722250723","-2.85117202530742","-3.1343446620681"
"102","102","-2.14618458228203","0.040441807346377","0.84642342675813","1.06962490553024","-21.4262409739506","-21.2060061933872"
"103","103","-2.51296870780578","-0.656331626458436","1.11117643456005","0.84369270345324","-23.6901207970987","-20.1071984455963"
